page,extracted,wrong,expected,content detected,problem,recall,precision,,
1,20,,20,true,none,"100,00%","100,00%",,
2,10,,10,true,none,"100,00%","100,00%",,
3,20,,20,true,none,"100,00%","100,00%",,
4,25,1,25,true,record alignment,"100,00%","96,15%",,
5,24,1,24,true,record alignment,"100,00%","96,00%",,
7,10,,10,true,none,"100,00%","100,00%",,
8,10,,10,true,none,"100,00%","100,00%",,
9,10,,10,true,none,"100,00%","100,00%",,
10,74,,74,true,none,"100,00%","100,00%",,
11,10,,10,true,none,"100,00%","100,00%",,
12,10,,10,true,none,"100,00%","100,00%",,
13,16,,16,true,none,"100,00%","100,00%",,
14,10,,10,true,none,"100,00%","100,00%",,
15,5,,12,true,content detection,"41,67%","100,00%",,
16,15,,15,true,none,"100,00%","100,00%",,
17,160,,160,true,none,"100,00%","100,00%",,
18,8,,8,true,none,"100,00%","100,00%",,
19,50,21,50,true,content detection,"100,00%","70,42%",,
20,10,,10,true,none,"100,00%","100,00%",,839
22,10,,10,true,none,"100,00%","100,00%",,
23,10,,10,true,none,"100,00%","100,00%",,
24,10,,10,true,none,"100,00%","100,00%",,
25,25,,25,true,none,"100,00%","100,00%",,
26,10,,10,true,none,"100,00%","100,00%",,
27,20,28,20,true,record alignment – unusable,"100,00%","41,67%",,
28,9,,10,true,record alignment,"90,00%","100,00%",,
30,10,,10,true,none,"100,00%","100,00%",,
31,7,,10,true,record alignment,"70,00%","100,00%",,
32,5,10,5,true,record alignment,"100,00%","33,33%",,
33,10,,10,true,none,"100,00%","100,00%",,
34,9,,10,true,record alignment,"90,00%","100,00%",,
35,10,,10,true,none,"100,00%","100,00%",,
36,10,,10,true,none,"100,00%","100,00%",,
37,25,,25,true,none,"100,00%","100,00%",,
38,10,43,10,true,record alignment – unusable,"100,00%","18,87%",,
39,6,,6,true,none,"100,00%","100,00%",,
40,3,5,10,true,content detection,"30,00%","37,50%",,
41,20,,20,true,none,"100,00%","100,00%",,
42,10,,10,true,none,"100,00%","100,00%",,
43,25,,25,true,none,"100,00%","100,00%",,
44,15,5,15,true,content detection,"100,00%","75,00%",,
45,10,,10,true,none,"100,00%","100,00%",,
46,15,,15,true,none,"100,00%","100,00%",,
47,10,,10,true,none,"100,00%","100,00%",,
48,10,,10,true,none,"100,00%","100,00%",,
49,13,2,13,true,record alignment,"100,00%","86,67%",,
50,10,,10,true,none,"100,00%","100,00%",,
51,5,,10,true,record alignment – unusable,"50,00%","100,00%",,
6,0,6,5,false,content detection,"0,00%","0,00%",,
21,100,2,100,false,content detection,"100,00%","98,04%",,
29,94,5,94,false,content detection,"100,00%","94,95%",,
